,user,date,text,favorite_count,polarity,subjectivity
77,solo_ambuku,Mon Sep 17 18:20:22 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
88,mwangipaul27,Mon Sep 17 17:50:20 +0000 2018,"RT @dkmaraga: Today, I joined Interior CS Dr. Fred Matiangi and other Senior Government leaders during the Ground Breaking Ceremony for the…",0,-0.125,0.375
98,nyangaya,Mon Sep 17 16:34:53 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
97,mwiriginkaabu,Mon Sep 17 16:38:54 +0000 2018,"Matiangi effect,its much worse than the public knows... https://t.co/u7m5qzgP6Y",0,-0.2,0.3333333333333333
96,ManasOmollo,Mon Sep 17 16:45:01 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
94,victormusandu0,Mon Sep 17 16:53:43 +0000 2018,"RT @dkmaraga: Today, I joined Interior CS Dr. Fred Matiangi and other Senior Government leaders during the Ground Breaking Ceremony for the…",0,-0.125,0.375
93,gideonkingoina,Mon Sep 17 17:24:13 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
92,gideonkingoina,Mon Sep 17 17:27:28 +0000 2018,"RT @dkmaraga: Today, I joined Interior CS Dr. Fred Matiangi and other Senior Government leaders during the Ground Breaking Ceremony for the…",0,-0.125,0.375
91,jmasaviru,Mon Sep 17 17:32:14 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
90,kamonesta,Mon Sep 17 17:35:49 +0000 2018,"RT @dkmaraga: Today, I joined Interior CS Dr. Fred Matiangi and other Senior Government leaders during the Ground Breaking Ceremony for the…",0,-0.125,0.375
89,MNyagetari,Mon Sep 17 17:37:22 +0000 2018,"RT @dkmaraga: Today, I joined Interior CS Dr. Fred Matiangi and other Senior Government leaders during the Ground Breaking Ceremony for the…",0,-0.125,0.375
87,AbednegoKyumwa,Mon Sep 17 17:57:46 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
53,macsleem,Tue Sep 18 03:39:32 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
86,Angelamukii,Mon Sep 17 18:02:23 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
85,Asamoh_,Mon Sep 17 18:03:43 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
84,SirAllingtone,Mon Sep 17 18:04:30 +0000 2018,"RT @MigunaMiguna: Mr. @FredMatiangi is an unrepentant and iredeemable convict who cannot ""assist"" the @JUDICIARYKENYA until he obeys the 13…",0,0.0,0.0
83,ngungah,Mon Sep 17 18:04:44 +0000 2018,"RT @dkmaraga: Today, I joined Interior CS Dr. Fred Matiangi and other Senior Government leaders during the Ground Breaking Ceremony for the…",0,-0.125,0.375
